Locus	logFC	AveExpr	t	P.Value	adj.P.Val	B	Updated_name
BSU_19000	-7.6307	18.2380375	-124.0467949	7.46e-27	1.8e-23	42.13941747	yobL
BSU_20390	8.9915	19.48875	78.36031081	2e-23	2.41e-20	39.15149567	yorG
BSU_27260	-9.847433333	21.021275	-67.61870549	2.51e-22	2.02e-19	37.80615534	mccA
BSU_34170	-7.4336	20.05890833	-62.07610662	1.0900000000000001e-21	6.56e-19	36.93688444	ganR
BSU_17120	-10.0924	24.19968333	-46.2031586	1.7e-19	8.22e-17	33.46423423	pksE
BSU_10430	-8.958933333	21.91571458	-45.18246072	2.49e-19	1e-16	33.17428433	yhxD
BSU_32830	6.7132	24.27904583	43.79631562	4.25e-19	1.46e-16	32.76407498	fadA
BSU_24150	-10.5684	24.31813958	-40.77680033	1.44e-18	4.33e-16	31.799324	mmgC
BSU_01980	-9.30745	23.57444375	-39.18212277	2.83e-18	7.6e-16	31.24664113	skfH
BSU_33490	-8.54555	22.80739375	-38.59061717	3.67e-18	8.87e-16	31.03340504	cadA
BSU_12160	-8.2333	18.3133625	-36.12445587	1.13e-17	2.48e-15	30.09254252	forC1
BSU_35970	-7.9916	20.6209125	-34.74138806	2.19e-17	4.41e-15	29.52545099	ywsB
BSU_29690	-9.00655	25.12177292	-33.22291845	4.68e-17	8.7e-15	28.86701956	acuA
BSU_19740	8.642	24.32582083	32.99972829	5.25e-17	9.05e-15	28.76689916	yodT
BSU_11450	9.632133333	23.58969167	25.61507064	3.78e-15	5.71e-13	24.87581037	oppC
BSU_12610	9.0641	20.49494375	23.71715665	1.37e-14	1.95e-12	23.65450038	xkdG
BSU_30940	9.3083	25.02121667	22.6815178	2.9e-14	3.89e-12	22.9403398	glgP
BSU_39680	-9.39705	27.49148958	-18.85023646	6.23e-13	7.91e-11	19.95028095	iolI
BSU_15090	12.43486667	26.1669375	15.91674893	9.85e-12	1.19e-09	17.20036866	gerR
BSU_32859	-4.74575	20.53822708	-14.22739189	5.97e-11	6.86e-09	15.38393217	yuzM
BSU_33750	-3.031966667	20.85146458	-12.67956177	3.68e-10	4.04e-08	13.53726474	sdpA
BSU_31540	-2.478466667	27.80305	-9.977062869	1.42e-08	1.49e-06	9.798727375	nupN
BSU_18540	0.6878	19.56785833	9.940007297	1.5e-08	1.51e-06	9.742203388	yoaB
BSU_15370	1.871433333	28.9529625	9.515443825	2.85e-08	2.76e-06	9.083310014	ylmD
BSU_17190	-2.466933333	29.41984375	-8.191024096	2.42e-07	2.24e-05	6.887366449	pksL
BSU_18320	-2.1262	20.8248875	-8.101997428	2.81e-07	2.51e-05	6.731740445	ppsC
BSU_00510	1.753333333	34.5070375	7.814742752	4.61e-07	3.98e-05	6.222450999	prs
BSU_00500	1.3711	32.49639583	7.783613798	4.87e-07	4.05e-05	6.166601261	gcaD
BSU_12900	-0.870366667	29.06691667	-6.481057114	5.31e-06	0.000427391	3.712487266	htrA
BSU_27930	-8.679933333	24.50363333	-6.293372105	7.64e-06	0.000594765	3.340128244	spo0B
BSU_19240	-1.262833333	21.64672708	-6.271681987	7.97e-06	0.000601066	3.296799868	yocK
BSU_17100	-1.6335	28.10198542	-6.220010626	8.81e-06	0.000644791	3.193335916	pksC
BSU_22100	-8.757566667	24.02917917	-5.98081902	1.41e-05	0.00100348	2.709962574	kdgA
BSU_24070	-1.0776	28.058225	-5.857950461	1.81e-05	0.001218725	2.45889272	buk
BSU_16050	0.818233333	30.76465	5.854952186	1.82e-05	0.001218725	2.452743083	rbgA
BSU_05610	8.54825	21.10613958	5.783856268	2.1e-05	0.001368027	2.306605323	vmlR
BSU_17090	-0.4932	19.34941667	-5.642260923	2.79e-05	0.001774212	2.013782032	pksB
BSU_27440	3.414466667	24.22509167	5.564525339	3.27e-05	0.002025523	1.852044735	glnH
BSU_19310	-2.596833333	29.20042917	-5.498558387	3.75e-05	0.002260433	1.714265563	dhaS
BSU_18550	0.858433333	24.20860417	5.322362096	5.39e-05	0.003171323	1.343975369	yoaC
BSU_22970	-7.79425	19.80393125	-5.307031826	5.56e-05	0.003195787	1.311605837	ypbH
BSU_08140	8.276	22.54848958	5.262147893	6.1e-05	0.003426404	1.216699652	yfjD
BSU_37030	8.7328	24.42855833	5.220282099	6.66e-05	0.003652705	1.127997288	racA
BSU_38630	-3.11175	24.84053542	-5.209598908	6.81e-05	0.003652705	1.105335437	katX
BSU_18530	1.16825	25.12288125	5.190471118	7.09e-05	0.003718778	1.064733264	yoaA
BSU_31250	-1.086533333	20.68414167	-5.164706734	7.48e-05	0.003840896	1.009989318	tlpA
BSU_39690	2.270966667	29.40452917	5.112086387	8.35e-05	0.004079243	0.897991732	iolH
BSU_40170	-1.178666667	24.85452917	-5.106390955	8.45e-05	0.004079243	0.885854464	epeE
BSU_03660	-1.20155	24.94424375	-5.015526708	0.000102269	0.004840713	0.691832934	yclE
BSU_04430	-6.23035	18.71844375	-4.92097651	0.000124863	0.005796536	0.48920633	ydbD
BSU_39730	1.0132	28.52875	4.901281764	0.000130179	0.005929301	0.446910092	iolD
BSU_17170	-8.262366667	22.6031375	-4.891657612	0.000132861	0.005939368	0.426230568	pksI
BSU_08560	5.658833333	21.09111667	4.704708376	0.00019777	0.008545824	0.023221856	yfhJ
BSU_30760	-5.4628	21.0420125	-4.703582435	0.000198246	0.008545824	0.020787646	mntB
BSU_09260	-2.241833333	29.04858333	-4.607646337	0.000243442	0.010309972	-0.186892103	yhxA
BSU_18340	-2.0435	28.34706042	-4.581431493	0.000257528	0.010718499	-0.243729133	ppsA
BSU_15300	-7.001266667	18.9521	-4.573431748	0.00026199	0.010719382	-0.261080554	bpr
BSU_00560	5.97845	22.53608125	4.547803997	0.00027682	0.010940731	-0.316688253	spoVT
BSU_24360	1.52345	26.78277708	4.538744393	0.000282264	0.010940731	-0.336353516	spoIIIAH
BSU_14890	-0.903316667	26.11220625	-4.537422494	0.000283068	0.010940731	-0.339223222	ctaC
BSU_00860	0.5078	34.43943333	4.526118685	0.000290034	0.010940731	-0.363765902	clpC
BSU_24770	6.912833333	26.49719167	4.526075464	0.000290061	0.010940731	-0.363859755	mgsR
BSU_01740	-5.686266667	22.57835	-4.49861333	0.000307721	0.011428301	-0.423509053	rsiW
BSU_35780	1.0605	22.43507917	4.476061406	0.000323039	0.011684599	-0.472517219	lytD
BSU_16270	6.795516667	21.48772292	4.474249086	0.000324303	0.011684599	-0.476456524	fliK
BSU_31830	5.701133333	21.8312125	4.44552436	0.000345023	0.012248323	-0.538910573	yueE
BSU_30780	5.98505	25.56161042	4.425966856	0.000359895	0.012591109	-0.581450766	menC
BSU_24840	5.3296	18.57285	4.405258877	0.000376352	0.012883045	-0.62650809	yqgS
BSU_28680	-5.4797	20.79254167	-4.397134025	0.000383015	0.012883045	-0.64419043	glcD
BSU_05650	-4.810933333	20.25926667	-4.393232986	0.000386257	0.012883045	-0.65268113	ydgH
BSU_04990	-6.670633333	18.90499583	-4.389260811	0.000389587	0.012883045	-0.661327157	yddJ
BSU_00830	6.266616667	26.63441875	4.347462394	0.000426438	0.013911095	-0.752336362	ctsR
