pyRAP_Gene	feature	Gene_base	locus	GO_terms	RPMPRPK	log2foldchange_RNAseq	padj_RNAseq
sboA.5651	CDS	sboA	BSU_37350	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	59.73	not_significant	0.137612704313981
yflT.1150	CDS	yflT	BSU_07550	General stress proteins (controlled by SigB)	4.6	not_significant	0.0649176868130672
gspA.5803	CDS	gspA	BSU_38430	General stress proteins (controlled by SigB)	6.2	3.46	0.0414784403904914
cydC.5847	CDS	cydC	BSU_38740	Terminal oxidases, Membrane proteins, Regulatory ABC transporters	26.67	not_significant	0.356817285587354
mgsR.3727	CDS	mgsR	BSU_24770	Transcription factors/ other, General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress, Phosphorylation on an Arg residue	5.13	not_significant	0.0820726775696103
sboX.5652	CDS	sboX	BSU_37360	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	7.57	not_significant	0.227138101020272
S272.1182	S_feature	S272	new_846186_849552	na	9.0	not_significant	0.197900594396311
albC.5655	CDS	albC	BSU_37390	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds, Membrane proteins, Export of antibiotic substances	1.45	not_significant	0.923896742854039
gsiB.689	CDS	gsiB	BSU_04400	General stress proteins (controlled by SigB)	2.23	not_significant	0.269695842268855
S1477_gspA.5802	CDS_3'UTR	S1477_gspA	new_3943322_3944525_c	na	2.0	3.67	0.0326211069736372
yjbC.1703	CDS	yjbC	BSU_11490	General stress proteins (controlled by SigB), Cell envelope stress proteins (controlled by SigM, V, W, X, Y), Resistance against oxidative and electrophile stress	1.0	0.88	0.0222700295196957
S1290.5097	sRNA_independent	S1290	new_3460206_3462957	Other regulators, Regulatory RNAs	5.75	not_significant	0.0672045126504267
nhaX.1435	CDS	nhaX	BSU_09690	General stress proteins (controlled by SigB)	8.0	3.73	0.0414216451518751
ysnF.4289	CDS	ysnF	BSU_28340	General stress proteins (controlled by SigB), Phosphorylation on either a Ser, Thr or Tyr residue	6.0	not_significant	0.295509190091127
cydB.5848	CDS	cydB	BSU_38750	Terminal oxidases, Membrane proteins	5.56	not_significant	0.786311380805769
yyzH.6123	CDS	yyzH	BSU_40529	Proteins of unknown function	5.5	not_significant	0.534803898054514
albF.5658	CDS	albF	BSU_37420	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds, Phosphorylation on an Arg residue	2.0	not_significant	0.553698345392564
ybyB.344	CDS	ybyB	BSU_02110	General stress proteins (controlled by SigB)	1.7	not_significant	0.084532811773871
rapA.1851	putative_sRNA	rapA	BSU_12430	Protein phosphatases, Response regulator aspartate phosphatase, Quorum sensing, Phosphatases controlling the phosphorelay, Phosphatases controlling the phosphorelay	0.33	not_significant	0.64817565610643
yfkJ.1197	CDS	yfkJ	BSU_07880	Protein phosphatases, General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress	2.12	not_significant	0.123939349370549
yoxC.2787	CDS	yoxC	BSU_18510	General stress proteins (controlled by SigB)	2.0	not_significant	0.204009137502173
argF.1666	putative_sRNA	argF	BSU_11250	Biosynthesis/ acquisition of arginine	1.78	not_significant	0.824991704617332
purC.1002	CDS	purC	BSU_06450	Biosynthesis/ acquisition of purine nucleotides	2.44	not_significant	0.695369153164868
yqxI.3902	CDS	yqxI	BSU_25890	Skin element, Secreted proteins	1.44	not_significant	0.97353657241219
nasD.526	CDS	nasD	BSU_03300	Anaerobic respiration, Utilization of nitrate/ nitrite	2.0	not_significant	0.220369154896663
albA.5653	CDS	albA	BSU_37370	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	0.67	not_significant	0.883717787782247
yfhK.1282	CDS	yfhK	BSU_08570	General stress proteins (controlled by SigB)	2.6	3.31	0.0408371424882475
phrA.1853	CDS	phrA	BSU_12440	Quorum sensing, Short peptides, Control of response regulators/ other, Other protein controlling the activity of the phosphorelay, Other protein controlling the activity of the phosphorelay	0.39	not_significant	0.808472450877687
clsC.5638	CDS	clsC	BSU_37240	Biosynthesis of phospholipids, General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress, Membrane proteins	4.5	not_significant	0.0624798570558302
ywjC.5633	CDS	ywjC	BSU_37210	General stress proteins (controlled by SigB)	2.33	not_significant	0.0606838491342107
alsD_alsS.5443	intergenic_UTR	alsD_alsS	BSU_36000	Overflow metabolism, Phosphorylation on either a Ser, Thr or Tyr residue	0.1	not_significant	0.330624020880552
yczO.632	CDS	yczO	BSU_04039	Proteins of unknown function, General stress proteins (controlled by SigB)	22.5	not_significant	0.913756627717467
pyrAA.2327	CDS	pyrAA	BSU_15510	Biosynthesis/ acquisition of pyrimidine nucleotides	3.0	-1.4	4.88876201415929e-05
dps.4632	CDS	dps	BSU_30650	Acquisition of iron / Other, General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress, Acquisition of iron / Other	0.75	not_significant	0.280878549036953
yxnB.6024	CDS	yxnB	BSU_39910	Proteins of unknown function	0.62	not_significant	0.838233699018087
ydjP.979	CDS	ydjP	BSU_06280	Sporulation proteins/ other, Cell envelope stress proteins (controlled by SigM, V, W, X, Y), Poorly characterized/ putative enzymes	0.5	not_significant	0.293488132281774
spdL.1284	CDS	spdL	BSU_08580	General stress proteins (controlled by SigB), Cell envelope stress proteins (controlled by SigM, V, W, X, Y), Resistance against toxins/ antibiotics, Membrane proteins	0.3	not_significant	0.935895283180662
csbC.6012	CDS	csbC	BSU_39810	General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress, Membrane proteins, Other transporters	1.64	not_significant	0.0845239827822035
yeaA.981	CDS	yeaA	BSU_06290	Sporulation proteins/ other, Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	0.68	not_significant	0.449140612711731
S928_mgsR.3728	CDS_3'UTR	S928_mgsR	new_2563803_2563987_c	na	0.55	not_significant	0.0649176868130672
yjzE.1764	CDS	yjzE	BSU_11839	General stress proteins (controlled by SigB)	19.6	not_significant	0.21604642627424
katE.5895	CDS	katE	BSU_39050	General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress	1.8	not_significant	0.267771286421743
S1224.4819	sRNA_independent	S1224	new_3266637_3269004	na	1.5	not_significant	0.148918303366207
akrN.1414	CDS	akrN	BSU_09530	Biosynthesis of fatty acids, General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress	1.6	not_significant	0.179843171651953
yqxJ.3901	CDS	yqxJ	BSU_25880	Skin element	1.77	not_significant	0.936361373859367
albG.5659	CDS	albG	BSU_37430	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds, Membrane proteins	1.24	not_significant	0.174510918639666
S639_S641.2653	sRNA_independent	S639_S641	new_1900263_1900568_c	na	0.72	not_significant	0.839566114388358
ogt.2017	CDS	ogt	BSU_13540	DNA repair/ recombination, Other proteins	0.7	not_significant	0.198875235157858
ribE.3512	CDS	ribE	BSU_23270	Biosynthesis/ acquisition of riboflavin/ FAD	1.32	0.93	0.0170993181726349
fruR.2149	CDS	fruR	BSU_14380	Utilization of fructose, Transcription factors/ other	1.0	not_significant	0.860842230345384
ephM.1285	CDS	ephM	BSU_08590	General stress proteins (controlled by SigB), Cell envelope stress proteins (controlled by SigM, V, W, X, Y), Poorly characterized/ putative enzymes	0.29	not_significant	0.905243365738311
ycdA.439	CDS	ycdA	BSU_02780	Motility and chemotaxis/ other, Membrane proteins	2.33	not_significant	0.221204712523514
sigW_rsiW.290	intergenic_UTR	sigW_rsiW	BSU_01730	Sigma factors, Sigma factors, Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	0.02	not_significant	0.584744325394044
mcsA.148	CDS	mcsA	BSU_00840	Control of transcription factor (other than two-component system), Sporulation proteins/ other, General stress proteins (controlled by SigB), Heat shock proteins, Phosphorylation on an Arg residue	1.17	not_significant	0.233842687722212
glmU.86	CDS	glmU	BSU_00500	Biosynthesis of peptidoglycan, Biosynthesis of peptidoglycan, Essential genes	4.0	3.65	5.4020155354646405e-117
yceG.467	CDS	yceG	BSU_02930	General stress proteins (controlled by SigB), Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	2.61	not_significant	0.607147560366685
prs_ctc.89	intergenic_UTR	prs_ctc	BSU_00510	Biosynthesis/ acquisition of histidine, Biosynthesis/ acquisition of purine nucleotides, Biosynthesis/ acquisition of pyrimidine nucleotides, Essential genes, Universally conserved proteins	0.28	2.57	8.67169992940605e-38
yerD.1023	CDS	yerD	BSU_06590	General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress, Membrane proteins, Poorly characterized/ putative enzymes	1.5	not_significant	0.243348628805966
yuaI.4681	CDS	yuaI	BSU_31000	Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	0.62	not_significant	0.546144135564591
