pyRAP_Gene	feature	Gene_base	locus	GO_terms	log2foldchange	padj
spoVG.85	CDS	spoVG	BSU_00490	Sporulation/ other, Other genes, Phosphorylation on a Ser residue, RNA chaperones	-6.74	0.0
sacB@leader@RNA.5203	sRNA_independent	sacB@leader@RNA	new_3535821_3536011	na	6.46	6.10351148592959e-07
upp.5583	CDS	upp	BSU_36890	Biosynthesis/ acquisition of pyrimidine nucleotides	4.45	1.66758345257405e-175
S1115.4455	sRNA_independent	S1115	new_3008846_3008937	na	-4.33	0.0053715747273203
S926.3722	sRNA_independent	S926	new_2560260_2560488_c	na	4.13	0.0019830218442706
bmrU.3617	CDS	bmrU	BSU_24000	General stress proteins (controlled by SigB), Resistance against toxins/ antibiotics	4.09	0.0161816410967747
ydaD.656	CDS	ydaD	BSU_04190	General stress proteins (controlled by SigB), Poorly characterized/ putative enzymes	4.08	0.0105372179224077
ascR.4456	CDS	ascR	BSU_29400	Biosynthesis/ acquisition of cysteine, Conversion of S-methyl cysteine to cysteine, Transcription factors/ other	-3.95	9.17490133734302e-05
nhaX.1435	CDS	nhaX	BSU_09690	General stress proteins (controlled by SigB)	3.73	0.0414216451518751
S1477_gspA.5802	CDS_3'UTR	S1477_gspA	new_3943322_3944525_c	na	3.67	0.0326211069736372
glmU.86	CDS	glmU	BSU_00500	Biosynthesis of peptidoglycan, Biosynthesis of peptidoglycan, Essential genes	3.65	5.4020155354646405e-117
gspA.5803	CDS	gspA	BSU_38430	General stress proteins (controlled by SigB)	3.46	0.0414784403904914
glmU_prs.87	intergenic_UTR	glmU_prs	BSU_00500	Biosynthesis of peptidoglycan, Biosynthesis of peptidoglycan, Essential genes	3.44	9.56074942848216e-35
yfhK.1282	CDS	yfhK	BSU_08570	General stress proteins (controlled by SigB)	3.31	0.0408371424882475
bsrE.2868	putative_sRNA	bsrE	BSU_18978	Type 1 TA systems	-3.17	1.50831302606756e-65
bsrE.2869	CDS	bsrE	BSU_18978	Type 1 TA systems	-3.11	1.55024519106789e-63
S536.2194	sRNA_independent	S536	new_1537029_1537112	na	3.11	0.0084537886627754
ykzI.2195	CDS	ykzI	BSU_14660	General stress proteins (controlled by SigB)	3.09	0.0003422533903054
yqhB.3724	CDS	yqhB	BSU_24750	General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress, Membrane proteins, Magnesium uptake/ efflux	3.08	0.0455229365017672
S1078_BSU_28509.4315	sRNA_independent	S1078_BSU_28509	new_2913380_2913589_c	na	2.94	0.005299941649978
prs.88	CDS	prs	BSU_00510	Biosynthesis/ acquisition of histidine, Biosynthesis/ acquisition of purine nucleotides, Biosynthesis/ acquisition of pyrimidine nucleotides, Essential genes, Universally conserved proteins	2.89	2.91725801491495e-61
yhcM.1367	CDS	yhcM	BSU_09140	Sporulation proteins/ other, General stress proteins (controlled by SigB)	2.88	0.0014322639239358
yjgC.1815	CDS	yjgC	BSU_12160	Electron transport/ other/ based on similarity, General stress proteins (controlled by SigB), Poorly characterized/ putative enzymes	2.69	0.0435763551530961
bsrG.3245	CDS	bsrG	BSU_21546	Type 1 TA systems	-2.68	1.91007928101709e-75
prs_ctc.89	intergenic_UTR	prs_ctc	BSU_00510	Biosynthesis/ acquisition of histidine, Biosynthesis/ acquisition of purine nucleotides, Biosynthesis/ acquisition of pyrimidine nucleotides, Essential genes, Universally conserved proteins	2.57	8.67169992940605e-38
