pyRAP_Gene	feature	Gene_base	locus	GO_terms	log2foldchange	padj
prs.88	CDS	prs	BSU_00510	Biosynthesis/ acquisition of histidine, Biosynthesis/ acquisition of purine nucleotides, Biosynthesis/ acquisition of pyrimidine nucleotides, Essential genes, Universally conserved proteins	4.17	4.26794018238639e-19
glmU.86	CDS	glmU	BSU_00500	Biosynthesis of peptidoglycan, Biosynthesis of peptidoglycan, Essential genes	4.02	2.4743129501697e-16
licC.5826	CDS	licC	BSU_38580	Utilization of other polymeric carbohydrates, Membrane proteins, Sugar specific PTS proteins	-3.66	0.0009127798108219
glmU_prs.87	intergenic_UTR	glmU_prs	BSU_00500	Biosynthesis of peptidoglycan, Biosynthesis of peptidoglycan, Essential genes	3.47	3.41282262070617e-07
arfM.5645	CDS	arfM	BSU_37290	Regulators of electron transport, Transcription factors/ other	3.12	0.0061903407901768
licA.5824	CDS	licA	BSU_38570	Utilization of other polymeric carbohydrates, Sugar specific PTS proteins, Phosphorylation on a His residue	-3.0	0.0024245232679068
narI.5640	CDS	narI	BSU_37250	Anaerobic respiration, Membrane proteins	2.94	0.0289271022658101
licH.5823	CDS	licH	BSU_38560	Utilization of other polymeric carbohydrates	-2.66	0.0088816159396407
dhaS.2927	CDS	dhaS	BSU_19310	Poorly characterized/ putative enzymes	-2.49	0.0001084825683263
fbpA.709	CDS	fbpA	BSU_04536	Acquisition of iron / Other, Acquisition of iron / Other	-2.32	0.0036257426562792
yomY.3199	CDS	yomY	BSU_21180	SP-beta prophage	2.32	0.035161545037699
putP_S118.512	CDS_3'UTR	putP_S118	BSU_03220	Biosynthesis/ acquisition of proline, Utilization of proline, Membrane proteins, Solute:sodium symporter family, Sodium-solute symporter	2.27	0.0289271022658101
yomX.3200	CDS	yomX	BSU_21190	SP-beta prophage	2.19	0.0113962726338051
narK.5648	CDS	narK	BSU_37320	Anaerobic respiration, Membrane proteins, Other exporters	2.17	0.0200761078370306
pyrAB.2328	CDS	pyrAB	BSU_15520	Biosynthesis/ acquisition of pyrimidine nucleotides, Membrane proteins	2.17	0.0289271022658101
ykuO.2120	CDS	ykuO	BSU_14160	Proteins of unknown function	-2.17	0.0453396935363833
yomO.3210	CDS	yomO	BSU_21280	SP-beta prophage	1.9	0.0453396935363833
sdpB_spbC.5108	intergenic_UTR	sdpB_spbC	BSU_33760	Toxins, antitoxins and immunity against toxins, Membrane proteins	-1.89	0.0113962726338051
iseA.2772	CDS	iseA	BSU_18380	Autolysis, Secreted proteins	-1.88	0.0289271022658101
dutB.3031	CDS	dutB	BSU_20020	Nucleotide metabolism/ other, SP-beta prophage	1.72	0.0453396935363833
yonD.3194	CDS	yonD	BSU_21130	SP-beta prophage	1.72	0.028701477684751
ylmD.2304	CDS	ylmD	BSU_15370	Biosynthesis of peptidoglycan, Biosynthesis of peptidoglycan	1.68	0.023291958473099
yonB.3196	CDS	yonB	BSU_21150	SP-beta prophage	1.63	0.0379995045042565
pksM.2578	CDS	pksM	BSU_17200	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-1.55	0.036645973278495
S321.1384	sRNA_3UTR	S321	new_1002410_1002500	na	-1.52	0.0479147351506839
yhxA.1381	CDS	yhxA	BSU_09260	Poorly characterized/ putative enzymes	-1.47	0.0479147351506839
upp.5583	CDS	upp	BSU_36890	Biosynthesis/ acquisition of pyrimidine nucleotides	6.72	0.0543648165077089
ytnA_asnB.4617	intergenic_UTR	ytnA_asnB	BSU_30530	Membrane proteins, Biosynthesis/acquisition of L- and D-alanine, APC superfamily	-5.46	na
S980.3943	sRNA_independent	S980	new_2691497_2692644_c	na	-5.02	na
S1134.4495	S_feature	S1134	new_3035475_3036308_c	na	-4.98	na
S214.942	sRNA_independent	S214	new_658495_658899	na	-4.73	na
S1485.5844	sRNA_independent	S1485	new_3971340_3971882_c	na	-4.57	na
yotE.3014	CDS	yotE	BSU_19910	SP-beta prophage	-4.41	na
S198.872	sRNA_independent	S198	new_606414_606611_c	na	-4.09	na
S955.3800	sRNA_independent	S955	new_2605598_2605729_c	na	-4.08	na
licC_licB.5827	intergenic_UTR	licC_licB	BSU_38580	Utilization of other polymeric carbohydrates, Membrane proteins, Sugar specific PTS proteins	-4.02	0.695236468551238
mdtK_rsbRC.2947	intergenic_UTR	mdtK_rsbRC	BSU_19440	Resistance against toxins/ antibiotics/ based on similarity, Membrane proteins, Multidrug exporters/ based on homology	-4.0	na
licB.5828	CDS	licB	BSU_38590	Utilization of other polymeric carbohydrates, Control of PRD-type regulators, Sugar specific PTS proteins, Trigger enzymes of the PTS that control the activity of PRD-containing transcription factors, Phosphorylation on a Cys residue, Phosphorylation on a Ser residue	-3.84	0.740894228215786
S250.1107	sRNA_5UTR	S250	new_796008_796313	na	-3.71	na
yyaE_yyzM.6185	intergenic_UTR	yyaE_yyzM	BSU_40930	Electron transport/ other/ based on similarity	-3.69	na
bglA_ptsJ.6054	intergenic_UTR	bglA_ptsJ	BSU_40110	Utilization of beta-glucosides	-3.62	na
YP_009513954.2018	CDS	YP_009513954	na	na	-3.62	na
S1040_tboA.4136	sRNA_5UTR	S1040_tboA	new_2800811_2800889_c	na	-3.55	0.975183137572134
gerAA.5009	CDS	gerAA	BSU_33050	Membrane proteins, Germinant receptors	-3.5	na
sacB@leader@RNA.5203	sRNA_independent	sacB@leader@RNA	new_3535821_3536011	na	3.48	na
S269.1176	S_feature	S269	new_843132_844096	na	3.47	na
yqbT.3913	CDS	yqbT	BSU_25980	Skin element	3.47	na
ssuB.1320	CDS	ssuB	BSU_08830	Sulfur metabolism, Membrane proteins, Uptake of ions, sulfur metabolism/ general	-3.43	na
cmpA.751	CDS	cmpA	G8J2-20	Not yet assigned	-3.41	na
conQ.767	CDS	conQ	BSU_04860	ICEBs1, Membrane proteins	-3.41	na
ykzH.1950	CDS	ykzH	BSU_13050	Newly identified sporulation proteins (based on transcription profiling)	-3.41	na
gswB_S1503.5888	transcript	gswB_S1503	BSU_misc_RNA_63	na	-3.33	na
ykzE.2013	CDS	ykzE	BSU_13510	Newly identified sporulation proteins (based on transcription profiling)	3.32	na
S1488.5852	S_feature	S1488	new_3980704_3983186_c	na	-3.31	na
yptA.3345	CDS	yptA	BSU_22160	Newly identified sporulation proteins (based on transcription profiling)	-3.27	na
ykpC.2160	CDS	ykpC	BSU_14460	Newly identified sporulation proteins (based on transcription profiling)	-3.27	na
yphA.3453	CDS	yphA	BSU_22860	Sporulation proteins/ other, Membrane proteins	-3.27	na
yrrD.4145	CDS	yrrD	BSU_27470	Sporulation proteins/ other	-3.27	na
S301.1303	sRNA_independent	S301	new_943787_944498_c	na	-3.26	na
narH.5642	CDS	narH	BSU_37270	Anaerobic respiration, Membrane proteins	3.24	0.798629738733291
narG.5643	CDS	narG	BSU_37280	Anaerobic respiration, Membrane proteins	3.24	0.755560102467565
S645.2660	sRNA_independent	S645	new_1903330_1903490	na	-3.22	na
pftA.4379	CDS	pftA	BSU_28910	Membrane proteins, Transporter for organic acids, Utilization of organic acids	-3.2	0.842735308631903
S1081.4340	sRNA_5UTR	S1081	new_2930473_2930793_c	na	-3.2	na
pbpI.4114	CDS	pbpI	BSU_27310	Penicillin-binding proteins, Sporulation proteins/ other, Membrane proteins	-3.18	na
S1311.5171	sRNA_5UTR	S1311	new_3513628_3513886	na	-3.17	na
ydeS_ydzO.828	intergenic_UTR	ydeS_ydzO	BSU_05320	Transcription factor/ other/ based on similarity	3.15	na
tatCD.422	CDS	tatCD	BSU_02640	Phosphate metabolism, Protein secretion, Membrane proteins	-3.15	na
pftB_pftA.4378	intergenic_UTR	pftB_pftA	BSU_28900	Transporter for organic acids, Utilization of organic acids, Membrane proteins	-3.14	0.997999564948224
S486.2024	sRNA_independent	S486	new_1425281_1425598	na	-3.13	na
S260.1148	sRNA_independent	S260	new_827212_827324_c	na	-3.09	na
cotF.6124	CDS	cotF	BSU_40530	Not yet assigned, Phosphorylation on an Arg residue	-3.02	na
ytzD.4461	CDS	ytzD	BSU_29430	Proteins of unknown function	3.02	na
qswA_S494.2044	transcript	qswA_S494	BSU_misc_RNA_22	na	3.0	na
S941.3772	S_feature	S941	new_2591428_2592036	na	3.0	na
S192.857	S_feature	S192	new_599344_599505_c	na	2.99	na
S497.2055	S_feature	S497	new_1445542_1445637	na	2.99	na
ssuC.1322	CDS	ssuC	BSU_08850	Sulfur metabolism, Membrane proteins, Uptake of ions, sulfur metabolism/ general	-2.98	na
ydjC.953	CDS	ydjC	BSU_06130	Prophage 3, Proteins of unknown function	-2.97	na
pftB.4377	CDS	pftB	BSU_28900	Transporter for organic acids, Utilization of organic acids, Membrane proteins	-2.97	0.862114537986951
xkdK_xkdM.1887	intergenic_UTR	xkdK_xkdM	BSU_12650	PBSX prophage, Secreted proteins	-2.94	na
xylA_xylB.2645	intergenic_UTR	xylA_xylB	BSU_17600	Utilization of xylan/ xylose	-2.94	na
yojB.2957	CDS	yojB	BSU_19510	Newly identified sporulation proteins (based on transcription profiling), Membrane proteins	-2.94	na
yqgE.3760	CDS	yqgE	BSU_25010	Newly identified sporulation proteins (based on transcription profiling), Membrane proteins	-2.94	na
cypB_bscR.4084	intergenic_UTR	cypB_bscR	BSU_27160	Electron transport/ other, Lipid metabolism/ other, Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	-2.94	na
gerBA.5415	CDS	gerBA	BSU_35800	Membrane proteins, Germinant receptors	-2.94	na
ydzL_ydcO.760	intergenic_UTR	ydzL_ydcO	BSU_04839	ICEBs1, Proteins of unknown function	-2.93	na
yefB.1045	CDS	yefB	BSU_06740	DNA repair/ recombination/ based on similarity	-2.93	na
sppO.2132	CDS	sppO	BSU_14250	Class II	-2.93	na
S1177.4658	S_feature	S1177	new_3153832_3153982_c	na	-2.93	na
yxiC_yxiB.5937	intergenic_UTR	yxiC_yxiB	BSU_39310	Proteins of unknown function	-2.93	na
S1272.5003	S_feature	S1272	new_3388009_3388287_c	na	-2.89	na
gerPD.1584	CDS	gerPD	BSU_10690	Additional germination proteins	-2.89	na
yvsG.5049	CDS	yvsG	BSU_33350	Membrane proteins, Proteins of unknown function	2.88	na
hemN_lepA.3842	intergenic_UTR	hemN_lepA	BSU_25500	Biosynthesis of heme/ siroheme	2.87	na
ssuA.1321	CDS	ssuA	BSU_08840	Sulfur metabolism, Membrane proteins, Uptake of ions, sulfur metabolism/ general	-2.82	na
S1563_mswM.6129	sRNA_5UTR	S1563_mswM	new_4169613_4169943_c	na	-2.82	na
yvoD_lgt.5283	intergenic_UTR	yvoD_lgt	BSU_34980	Proteins of unknown function, Membrane proteins	2.81	na
Novel_transcript.123	Novel_transcript	Novel_transcript	na	na	-2.8	na
yjzJ.1863	CDS	yjzJ	BSU_12519	PBSX prophage	-2.8	na
S1021.4081	S_feature	S1021	new_2773647_2773762	na	-2.8	na
Novel_transcript.5487	Novel_transcript	Novel_transcript	na	na	-2.8	na
ywzF.5544	pseudogene	ywzF	BSU_36669	Proteins of unknown function	-2.8	na
cotP.864	CDS	cotP	BSU_05550	Class V	2.79	na
ypzF_ypbS.3322	intergenic_UTR	ypzF_ypbS	BSU_22019	Proteins of unknown function, Sporulation proteins/ other	-2.72	na
cwlD.265	CDS	cwlD	BSU_01530	Cell wall/ other, Sporulation proteins/ other	2.71	na
ycgG.492	CDS	ycgG	BSU_03100	Sporulation proteins/ other	-2.69	na
cwlA.3903	CDS	cwlA	BSU_25900	Autolysis, Skin element	-2.66	na
ydjP_yeaA.980	intergenic_UTR	ydjP_yeaA	BSU_06280	Sporulation proteins/ other, Cell envelope stress proteins (controlled by SigM, V, W, X, Y), Poorly characterized/ putative enzymes	-2.66	na
carA.1663	CDS	carA	BSU_11230	Biosynthesis/ acquisition of arginine	2.65	na
pbtP_pbtQ.602	intergenic_UTR	pbtP_pbtQ	BSU_03820	Membrane proteins, Uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores	-2.63	na
xepA_xhlA.1911	intergenic_UTR	xepA_xhlA	BSU_12780	Autolysis, PBSX prophage, Secreted proteins	-2.62	na
cotA.982	CDS	cotA	BSU_06300	Efp-dependent proteins, Class V	2.61	na
mgtE@riboswitch_swmG.1985	sRNA_5UTR	mgtE@riboswitch_swmG	new_1395590_1395909	na	-2.6	na
S1481.5821	sRNA_independent	S1481	new_3957252_3958479_c	na	-2.59	na
fsrA.2107	transcript	fsrA	BSU_misc_RNA_69	Regulatory RNAs	-2.59	0.0543648165077089
rmgS.4564	CDS	rmgS	BSU_30110	Proteins of unknown function	-2.58	na
S1222.4813	sRNA_independent	S1222	new_3264537_3264677_c	na	2.57	na
yrdF.4017	CDS	yrdF	BSU_26730	Poorly characterized/ putative enzymes	-2.56	na
yutC.4895	CDS	yutC	BSU_32320	Newly identified sporulation proteins (based on transcription profiling)	2.55	na
yueG.4807	CDS	yueG	BSU_31790	Newly identified sporulation proteins (based on transcription profiling)	-2.55	na
narJ.5641	CDS	narJ	BSU_37260	Anaerobic respiration	2.55	0.054820677102484
licA_licC.5825	intergenic_UTR	licA_licC	BSU_38570	Utilization of other polymeric carbohydrates, Sugar specific PTS proteins, Phosphorylation on a His residue	-2.53	0.0988479087423022
yozL.2863	CDS	yozL	BSU_18950	DNA repair/ recombination/ based on similarity	2.51	na
