Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig	Gene_base
ribBA.3511	12533.8254973126	-1.69864522838384	0.54750540962402	-3.10251770763384	0.0019188206809099	0.0497381578924342	1	ribBA
ribH.3510	7569.56473563647	-1.67062642987089	0.518072230082111	-3.22469789512962	0.00126105665951194	0.0357188035280301	1	ribH
fbpA.709	577.727794754353	1.13383603723549	0.219410518444031	5.1676466801874	2.37059907406075e-07	3.89963547682994e-05	1	fbpA
fbpB.708	596.646432207914	1.12036968231976	0.210626191385749	5.31923249881052	1.04205901841897e-07	1.85703600907414e-05	1	fbpB
yjgD.1816	212.353262243908	-1.11476285950452	0.187650453763979	-5.94063503255172	2.83920078768196e-09	7.58953860557235e-07	1	yjgD
ygxB.1398	3260.62604011982	-1.09304152513667	0.145891602103288	-7.49214834423998	6.77552781794992e-14	9.65964415912394e-11	1	ygxB
hutM.5949	115.927218940211	-1.03038492494696	0.28102419927511	-3.66653451056813	0.000245859752082172	0.00992020905335331	1	hutM
ydaS.686	996.640291797482	-0.959858506644932	0.131264021990469	-7.31242645234978	2.62360889423705e-13	2.53080589008908e-10	1	ydaS
yhxD.1545	1656.46448552218	-0.95087926841494	0.140916278166482	-6.74783127107251	1.50071316227941e-11	5.83504563188095e-09	1	yhxD
edmS.5425	350.306161242421	0.931245451023983	0.185103407988896	5.0309470859653	4.88062846849606e-07	7.45515998562774e-05	1	edmS
ydbD.694	1385.85769585087	-0.903709735592561	0.120031622806627	-7.52893041401641	5.1157635713032e-14	9.65964415912394e-11	1	ydbD
ypzK.3509	9038.67445163786	-0.885485418635497	0.207925634410689	-4.25866402257314	2.05652293338032e-05	0.00158178636388871	1	ypzK
ydaD.656	535.501733845577	-0.884292547409053	0.138719768138726	-6.37466858021791	1.83359026973577e-10	6.0325119874307e-08	1	ydaD
ysnF.4289	1174.63313575561	-0.868978159073716	0.170181179404872	-5.10619424611203	3.28711795086241e-07	5.20703832438465e-05	1	ysnF
S1078_BSU_28509.4315	665.999544271501	-0.856253439253183	0.133485460482174	-6.41458205380748	1.41209718793414e-10	5.0329497273286e-08	1	S1078_BSU_28509
katX.5832	440.384005335969	-0.842501431188996	0.156190255053844	-5.39407167815018	6.887872026646e-08	1.28084472425935e-05	1	katX
yjgC.1815	1086.43175194028	-0.84094262779753	0.153237801870193	-5.48782753037588	4.06907061750305e-08	7.91064319593661e-06	1	yjgC
capA.5426	1402.65624069375	0.8304601916066	0.205098906627831	4.04907176376879	5.14211765637907e-05	0.00328251301736318	1	capA
frxB.5980	840.98460333056	0.82954331039916	0.227226721862052	3.65072956033213	0.000261496469736892	0.0102607376244467	1	frxB
yhcM.1367	340.889139467207	-0.827444647151911	0.149667514492867	-5.52855207060546	3.228845933383e-08	6.57608288432337e-06	1	yhcM
capC.5427	459.888918164843	0.810038473040809	0.225434462615693	3.59323265680862	0.000326600724563188	0.0121306121067802	1	capC
capB.5429	1011.31542368004	0.809058176099959	0.208760179455814	3.87553880346804	0.000106389023377612	0.0053205387224769	1	capB
ywmD.5554	377.43134541633	0.802168225832983	0.24562805008989	3.26578428456938	0.00109161371737925	0.0317607610151771	1	ywmD
ydaM.671	137.12638016657	-0.801610468609928	0.2000117397743	-4.00781708870936	6.12825524768607e-05	0.00342492696241329	1	ydaM
yflT.1150	5019.34766329647	-0.796781322942626	0.109429838996229	-7.28120712093966	3.30846268232864e-13	2.53080589008908e-10	1	yflT
opuCA.5117	1092.34736970144	-0.791805700852512	0.1801137276858	-4.3961429871341	1.10191361274124e-05	0.0010152845915884	1	opuCA
ydaL.670	185.639313118872	-0.775891888005163	0.182258879535751	-4.25708689739294	2.07107870885592e-05	0.00158178636388871	1	ydaL
S365.1542	378.817880435531	-0.772256525886184	0.225273495595961	-3.42808426638553	0.000607856749982722	0.0198458268677565	1	S365
yvgO.5056	1731.04652409441	-0.763995319308807	0.111429109023509	-6.85633517133857	7.06495100625061e-12	3.02167954537339e-09	1	yvgO
amtB.5519	910.873149847247	0.753298590689182	0.204442315885228	3.68465103433908	0.000229016193245152	0.00938481479137025	1	amtB
gsiB_ydbB.690	1772.17288162241	-0.751449810725966	0.125835516596574	-5.97168296400054	2.34818516026559e-09	6.69545862030396e-07	1	gsiB_ydbB
poxB.678	2486.77822420681	-0.743258192832315	0.10828775063908	-6.86373286402054	6.70840275458851e-12	3.02167954537339e-09	1	poxB
yybO.6130	264.258891322903	-0.741189999963321	0.221435490105444	-3.34720509169681	0.000816307923023993	0.024938207048383	1	yybO
yrzH.4200	147.543364396203	0.724563346383908	0.205061812931408	3.533389937532	0.000410266873147253	0.014501747243395	1	yrzH
mnmE.6201	1584.67531339112	0.723112512708052	0.103174868250867	7.00861096279595	2.40695691835009e-12	1.28681934247291e-09	1	mnmE
opuCD.5114	1363.25098777912	-0.719405651041271	0.181873236071968	-3.95553335157351	7.63640933824347e-05	0.00417421207492738	1	opuCD
ohrB.1963	3552.68874884301	-0.714883152773698	0.0983105432430067	-7.27168347556203	3.55034728560544e-13	2.53080589008908e-10	1	ohrB
gsiB.689	8203.97861321218	-0.714048994777203	0.115692730047708	-6.17194351350127	6.74556021282951e-10	2.06076864501942e-07	1	gsiB
ydaG.659	7153.9458158326	-0.712199163899118	0.0902837476623327	-7.88845370667145	3.05953677980293e-15	1.30856388072171e-11	1	ydaG
yocB.2899	641.66479130181	-0.707876071166927	0.14100493374085	-5.02022200491166	5.16117947848071e-07	7.61184987222828e-05	1	yocB
S536.2194	203.606429497713	-0.705768938779801	0.182172329576125	-3.87418298059848	0.000106983009149641	0.0053205387224769	1	S536
nasE.524	5646.02970818828	0.700274544590159	0.185066641456313	3.78390475495535	0.000154386924905762	0.00702460508321216	1	nasE
S1358.5365	206.786990593891	-0.693874703971962	0.186722943353971	-3.71606558630871	0.000202349077788124	0.00866058417859728	1	S1358
nasE_nasD.525	2060.93103753332	0.68636577572527	0.184491865187263	3.7203037382087	0.000198983323028904	0.00866058417859728	1	nasE_nasD
sufLB.1193	2781.1293659059	-0.676201045278993	0.120307705306305	-5.62059631639865	1.90299461899887e-08	4.28374104497798e-06	1	sufLB
comS.559	1940.9312093354	-0.666609644607413	0.15322279599653	-4.35059052585432	1.35771387414666e-05	0.00113861612543633	1	comS
lyxE.657	391.690879441956	-0.664976476243077	0.159234504999498	-4.17608279213838	2.96571916153558e-05	0.00211406347564795	1	lyxE
opuCC.5115	1023.85090197371	-0.66452595738938	0.170448761940203	-3.89868456552657	9.6716667303653e-05	0.00498382151876776	1	opuCC
YP_009513940.413	367.941099229517	-0.658492356505585	0.155479527769636	-4.23523512035121	2.28312688516989e-05	0.00171285128523091	1	YP_009513940
S164.732	1061.24541894118	-0.656888516845659	0.15360456190185	-4.27649093693842	1.89862282600253e-05	0.00150377959755793	1	S164
yxiS_katE.5894	656.127022667568	-0.6566915030219	0.14334422616604	-4.58122046897958	4.62270189866876e-06	0.00048725502471358	1	yxiS_katE
ydhK.894	575.316077910865	-0.655869211472023	0.135908228449954	-4.82582415319716	1.39425489180779e-06	0.000170377947778912	1	ydhK
S572.2356	169.844196364445	-0.646430833781268	0.191230494943283	-3.3803752585224	0.000723869247988889	0.0224347012583223	1	S572
ybfH.358	1163.0131365077	-0.642132709141113	0.151755479429378	-4.23136424171056	2.32278172886118e-05	0.00171285128523091	1	ybfH
bofC.4194	325.838744081423	-0.64110769053472	0.170683758935526	-3.75611419934156	0.000172571970247013	0.00768844079944242	1	bofC
S272.1182	7599.72127322482	-0.637535467731283	0.114592087719846	-5.5635208365339	2.64385278138596e-08	5.65387917299387e-06	1	S272
yoxC.2787	1266.60803354121	-0.623428217686955	0.127916829438556	-4.87369973461089	1.09527422553309e-06	0.0001377790547825	1	yoxC
yuxJ.4761	373.65396463506	-0.620563896787699	0.161863008704362	-3.83388336689788	0.000126135967025036	0.00592839045017668	1	yuxJ
opuCB.5116	322.506083163539	-0.616748212575923	0.193420456646316	-3.18864003978491	0.00142943753492568	0.0394432537863041	1	opuCB
ybfI.360	1019.08911960845	-0.614145781235484	0.170650655533649	-3.59884806369458	0.000319629851228197	0.011991726962307	1	ybfI
katE.5895	5813.7985855678	-0.613577457733357	0.0855479123527399	-7.17232531874527	7.37344680547101e-13	4.50517599814279e-10	1	katE
yoxB.2788	1234.96910444678	-0.606934403101244	0.138456735106195	-4.38356720339918	1.16751610362483e-05	0.00101907477044967	1	yoxB
ycbP.414	1335.94631081001	-0.606849667695881	0.126529356922332	-4.79611753712134	1.61770381909496e-06	0.00019219220095192	1	ycbP
nasF_nasE.523	1651.14192260419	0.606699956823233	0.188068906813355	3.2259450384605	0.00125557465481723	0.0357188035280301	1	nasF_nasE
yxiS.5893	1285.27411090967	-0.605909195363557	0.122543378641081	-4.9444466284728	7.63604573827324e-07	0.000105352798782563	1	yxiS
nasF.521	16553.8580580774	0.602864666395177	0.188095711381002	3.20509522502631	0.00135017803689849	0.0379915227882555	1	nasF
S1225.4824	1254.43450400237	-0.602600516642356	0.170092717996741	-3.54277669108623	0.000395937823199864	0.0142304711750069	1	S1225
sleL.34	256.994464769315	-0.600934275346608	0.176991487371813	-3.39527219229591	0.000685604027177198	0.0215612384135064	1	sleL
yqhB.3724	501.443647002877	-0.599184721966498	0.157537352509263	-3.80344542054728	0.000142697444212603	0.00663388009670981	1	yqhB
S1495.5873	556.22483075297	0.594406570617846	0.162759620078338	3.65205184388948	0.000260153346058176	0.0102607376244467	1	S1495
tapA.3710	744.62941646303	0.59184945610919	0.12925155470061	4.57905096368171	4.67090390770558e-06	0.00048725502471358	1	tapA
ycdG.451	1810.26061053485	-0.58715715668546	0.135494536594743	-4.33343787463267	1.46798719873275e-05	0.00120741947095769	1	ycdG
S1477_gspA.5802	5706.79379416395	-0.562645614782175	0.158967885567237	-3.53936653793006	0.000401088523222664	0.0142954634485278	1	S1477_gspA
yerD.1023	2149.71483293313	-0.562296661792183	0.13936552357896	-4.03468983829134	5.46744709397891e-05	0.00334712462139327	1	yerD
hemY.1506	7565.02286468771	0.557859958673218	0.139243359350564	4.00636670412935	6.16598962136598e-05	0.00342492696241329	1	hemY
cutI_cutJ.617	3019.17521383574	0.557256285160084	0.157915059785259	3.52883560261997	0.000417392335730359	0.0145137156090955	1	cutI_cutJ
cutI.616	23835.685413523	0.556890195699544	0.136647760284634	4.07537009417171	4.59412231818887e-05	0.00297713047801421	1	cutI
ywsB.5437	7257.89424126091	-0.552049065100244	0.128041404413615	-4.31148867531119	1.62159081042615e-05	0.00130859318796088	1	ywsB
ytaB.4670	825.031350277921	-0.549754089038867	0.148429952434015	-3.70379482054513	0.000212398072591093	0.00881967530555442	1	ytaB
rbn.1199	2559.18461253452	-0.545250568440871	0.0957135980454466	-5.69668865840751	1.22156706032654e-08	2.90257906500924e-06	1	rbn
yomL.3216	848.575128066765	-0.543549980547042	0.135096373021957	-4.02342393351078	5.73581152210341e-05	0.00338486476395761	1	yomL
cypD.1106	203.778699633819	-0.542184422958533	0.170686027910081	-3.1765014957414	0.00149063020864353	0.0403507936858759	1	cypD
ywzA.5764	3029.34953882326	-0.539571310355137	0.113954540549926	-4.7349698199936	2.1908769775022e-06	0.000253253536020998	1	ywzA
S1418.5552	692.345517769179	-0.537974515322477	0.170584195874642	-3.15371838853008	0.00161204562138315	0.0433630133500361	1	S1418
opuE.1033	5790.49551439589	-0.536728026491512	0.118624811241505	-4.52458487287962	6.05141655116042e-06	0.000601904850914258	1	opuE
yfkD.1204	890.419177507736	-0.53484802161658	0.121903925750802	-4.38745527121027	1.14684568723825e-05	0.00101907477044967	1	yfkD
ywmE.5553	876.526813993249	-0.533736220324252	0.151703322021464	-3.51828960112512	0.000434338083004846	0.0149811611371913	1	ywmE
yumB.4861	598.811810162627	-0.530602492620106	0.129307662193807	-4.10341107106891	4.07102977411029e-05	0.00275131237003118	1	yumB
ykzI.2195	463.310664285622	-0.526771216070719	0.146678894879827	-3.59132250418372	0.000329004209583004	0.0121306121067802	1	ykzI
comS_srfAC.560	51565.3173574905	-0.523623468341049	0.132749037835485	-3.94446149575841	7.99795026517179e-05	0.00427590416051747	1	comS_srfAC
yxbG.6015	661.920122164191	-0.522847083642691	0.11739986671787	-4.453557727618	8.44589863172966e-06	0.000820979737452449	1	yxbG
tboH.4161	963.192047313188	0.518732597941011	0.118808465294548	4.36612489400464	1.26470183396864e-05	0.00108182594877677	1	tboH
ycdF.450	701.399691384222	-0.51541740728619	0.165707974780148	-3.11039591166338	0.00186836732299926	0.0487256526857794	1	ycdF
S555.2267	1388.47555135271	-0.515392078835112	0.126379565250847	-4.07812827819218	4.53997168862851e-05	0.00297713047801421	1	S555
yoaA.2789	822.037641639056	-0.514765463642467	0.133337125084938	-3.86063118815973	0.000113094500129339	0.00543488962981106	1	yoaA
trmF.6199	2881.66640027963	0.512678483691584	0.112494515092893	4.55736427032231	5.17995427420829e-06	0.000527492010256878	1	trmF
yflA.1180	3944.1386624592	-0.509975801929243	0.131308230089565	-3.88380683816537	0.000102833614076371	0.00523594485005523	1	yflA
sipU.629	338.266928984259	0.50744689754281	0.145078385333429	3.49774293652746	0.00046921315631368	0.0159271799170921	1	sipU
yxnA.6036	1594.68011975341	-0.505658002508469	0.130710351648329	-3.86853830727133	0.000109489736868	0.00532145005209585	1	yxnA
hemH_hemY.1505	709.035813532278	0.50454279952798	0.157800659568384	3.19734277985912	0.00138699997577278	0.0387725418064064	1	hemH_hemY
yfkI.1198	1227.79626718499	-0.50446044806804	0.114821225967169	-4.39344244776031	1.11569735339385e-05	0.0010152845915884	1	yfkI
srfAB.557	74137.1514204961	-0.502126252148597	0.130440468089383	-3.84946680660881	0.000118375223126201	0.00562545365900847	1	srfAB
liaH.5016	1154.97202822672	0.502121923300646	0.128573222990117	3.90533823157909	9.40936857219649e-05	0.00490778894918102	1	liaH
csbA_S1343.5316	483.592711492677	-0.501970212646685	0.140019029790983	-3.58501421839598	0.000337059841753561	0.0123214097707691	1	csbA_S1343
glpK.1386	1981.53882870127	-0.49900333538107	0.105848990813659	-4.71429469043817	2.42549422868453e-06	0.000272995758317993	1	glpK
hemH_hemY.1504	3417.78869389762	0.497689616439529	0.136115567761169	3.65637542145645	0.000255806640950563	0.0102250934892108	1	hemH_hemY
rsbX.744	26872.8671484602	-0.495694643344327	0.0866610620032826	-5.71992347988477	1.06572037629665e-08	2.68122708789457e-06	1	rsbX
yfkJ.1197	1004.98389426937	-0.495596945034737	0.13142004533291	-3.77109096089036	0.000162535409122974	0.00731751520862062	1	yfkJ
S275.1200	497.894188616739	-0.494615926894277	0.136036627141032	-3.63590260424126	0.000277008985912344	0.0106735804751991	1	S275
csbC.6012	21848.3083885865	-0.4940515864794	0.133046663609177	-3.71337073081869	0.000204516951610551	0.00866058417859728	1	csbC
gspA.5803	26937.0569502695	-0.476249984359165	0.139110175660502	-3.42354527336268	0.000618099548861066	0.0200273618975665	1	gspA
ddaH.1946	4575.75871669848	-0.475489768677695	0.142419105850026	-3.33866559433682	0.000841818384911771	0.025535157675657	1	ddaH
