pyRAP_Gene	feature	Gene_base	locus	GO_terms	log2foldchange	padj
S1016.4059	sRNA_independent	S1016	new_2755836_2755986	na	-24.26	6.69606562219635e-05
S309.1319	sRNA_independent	S309	new_961009_961338	na	-20.07	0.0019761325907995
spoVG.85	CDS	spoVG	BSU_00490	Sporulation/ other, Other genes, Phosphorylation on a Ser residue, RNA chaperones	7.01	3.81846741112489e-37
spoIIIAB.3677	CDS	spoIIIAB	BSU_24420	Protein secretion, Sporulation proteins/ other, Membrane proteins	6.29	0.0017989915601112
yotJ.3009	CDS	yotJ	BSU_19860	SP-beta prophage	5.47	8.88380104412022e-05
ydzR.859	CDS	ydzR	BSU_05529	Proteins of unknown function, Newly identified sporulation proteins (based on transcription profiling)	-5.27	0.0429176485716092
ssuA.1321	CDS	ssuA	BSU_08840	Sulfur metabolism, Membrane proteins, Uptake of ions, sulfur metabolism/ general	-4.87	0.0002580676113975
yqaK.3952	CDS	yqaK	BSU_26280	Skin element	-4.82	2.02113678253775e-07
bglA_ptsJ.6054	intergenic_UTR	bglA_ptsJ	BSU_40110	Utilization of beta-glucosides	-4.59	1.6064888873882e-05
ydcS.770	CDS	ydcS	BSU_04880	ICEBs1, Proteins of unknown function	4.57	5.31728292370855e-13
sleB.3465	CDS	sleB	BSU_22930	Membrane proteins, Additional germination proteins	-4.48	0.0130874021784637
yezD.1099	CDS	yezD	BSU_07190	Proteins of unknown function	4.42	1.58101815993811e-05
ascR.4456	CDS	ascR	BSU_29400	Biosynthesis/ acquisition of cysteine, Conversion of S-methyl cysteine to cysteine, Transcription factors/ other	4.25	1.01432798985473e-11
nasD_nasC.527	intergenic_UTR	nasD_nasC	BSU_03300	Anaerobic respiration, Utilization of nitrate/ nitrite	4.12	0.0015437219482966
pyrK.2329	CDS	pyrK	BSU_15530	Biosynthesis/ acquisition of pyrimidine nucleotides	4.12	0.0032233094191167
ydaD.656	CDS	ydaD	BSU_04190	General stress proteins (controlled by SigB), Poorly characterized/ putative enzymes	-4.05	7.972148312525141e-21
pyrF.2331	CDS	pyrF	BSU_15550	Biosynthesis/ acquisition of pyrimidine nucleotides, Newly identified competence genes	3.87	0.0002004272860398
pyrAB.2328	CDS	pyrAB	BSU_15520	Biosynthesis/ acquisition of pyrimidine nucleotides, Membrane proteins	3.75	0.0003274218193763
ssuB.1320	CDS	ssuB	BSU_08830	Sulfur metabolism, Membrane proteins, Uptake of ions, sulfur metabolism/ general	-3.74	0.0346161235056748
pyrD.2330	CDS	pyrD	BSU_15540	Biosynthesis/ acquisition of pyrimidine nucleotides	3.7	0.0001249067277999
