pyRAP_Gene	feature	Gene_base	locus	GO_terms	RPMPRPK	log2foldchange_RNAseq	padj_RNAseq
bsrF.2882	transcript	bsrF	BSU_misc_RNA_75	Small RNAs with unknown functions	8.53	not_deregulated	na
recQ.2911	CDS	recQ	BSU_19220	DNA repair/ recombination/ based on similarity, Other proteins, DNA replication	6.39	not_deregulated	0.583439557
ccpB.6173	CDS	ccpB	BSU_40870	Transcription factors/ other, Sporulation proteins/ other	4.29	not_deregulated	0.586200676
yoeC.2773	CDS	yoeC	BSU_18390	Proteins of unknown function	3.61	not_deregulated	0.142104495
recQ_azoJ.2912	intergenic_UTR	recQ_azoJ	BSU_19220	DNA repair/ recombination/ based on similarity, Other proteins, DNA replication	1.55	not_deregulated	0.930826376
S735_ssrSA.2913	sRNA_inter_intragenic	S735_ssrSA	new_2095786_2095916_c	na	1.45	not_deregulated	0.813432642
gdwB.5861	transcript	gdwB	BSU_misc_RNA_60	na	1.45	not_deregulated	na
ybaR.273	CDS	ybaR	BSU_01580	Membrane proteins, Transporter for organic acids, Utilization of organic acids	0.85	2.93	7.00E-52
rpmGA.3747	CDS	rpmGA	BSU_24900	Phosphorylation on an Arg residue, Ribosomal proteins	0.84	not_deregulated	0.913563198
yokC.3263	CDS	yokC	BSU_21640	SP-beta prophage	0.79	not_deregulated	0.832173075
bsrE.2869	CDS	bsrE	BSU_18978	Type 1 TA systems	0.66	not_deregulated	0.84667727
comGA.3721	CDS	comGA	BSU_24730	Genetic competence, Genetic competence, Membrane proteins, Phosphorylation on an Arg residue	0.58	not_deregulated	0.068330806
pfeT.2067	CDS	pfeT	BSU_13850	Membrane proteins, Iron export, Metal ion transporter	0.55	not_deregulated	0.805195914
bsrH.3924	CDS	bsrH	BSU_26055	Antisense RNAs of toxin/antitoxin systems, Small RNAs with unknown functions, Type 1 TA systems	0.54	not_deregulated	0.73073656
S612.2560	sRNA_independent	S612	new_1780399_1780532	na	0.49	not_deregulated	na
