pyRAP_Gene	feature	Gene_base	locus	GO_terms	RPMPRPK	log2foldchange_RNAseq	padj_RNAseq
rosA_S346.1454	sRNA_independent	rosA_S346	new_1056384_1056537	Regulatory RNAs	3.55	not_deregulated	na
yjpA.1854	CDS	yjpA	BSU_12450	Proteins of unknown function	3.45	not_deregulated	na
bmrB.1437	putative_sRNA	bmrB	BSU_09700	Other regulators	3.04	not_deregulated	na
ykoY.2003	CDS	ykoY	BSU_13440	Newly identified sporulation proteins (based on transcription profiling), Membrane proteins, Manganese	1.89	not_deregulated	na
ykoX.2000	CDS	ykoX	BSU_13430	Membrane proteins, Other transporters	1.77	not_deregulated	0.999008657
ydjN.974	CDS	ydjN	BSU_06260	Proteins of unknown function, Secreted proteins	1.7	not_deregulated	na
sacP.5743	CDS	sacP	BSU_38050	Utilization of sucrose, Control of PRD-type regulators, Membrane proteins, Sugar specific PTS proteins, Trigger enzymes of the PTS that control the activity of PRD-containing transcription factors, Phosphorylation on a Cys residue	1.43	not_deregulated	na
fhuG.5040	CDS	fhuG	BSU_33300	Membrane proteins, Uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores	1.37	not_deregulated	na
fhuG_fhuB.5041	CDS	fhuG_fhuB	BSU_33300	Membrane proteins, Uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores	1.36	not_deregulated	na
opuBA.5100	CDS	opuBA	BSU_33730	Coping with hyper-osmotic stress, Membrane proteins, Uptake of compatible solutes for osmoprotection	1.21	not_deregulated	na
walM.971	CDS	walM	BSU_06250	Cell wall/ other, Secreted proteins	1.04	not_deregulated	na
YP_009514003.5196	CDS	YP_009514003	na	na	0.85	not_deregulated	na
walM_ydjN.973	intergenic_UTR	walM_ydjN	BSU_06250	Cell wall/ other, Secreted proteins	0.85	not_deregulated	na
argC.1657	CDS	argC	BSU_11190	Biosynthesis/ acquisition of arginine	0.84	not_deregulated	0.999008657
amtB.5519	CDS	amtB	BSU_36510	Biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation, Membrane proteins, Uptake of other small ions	0.82	not_deregulated	0.999008657
mnrW_ykoY.2002	transcript	mnrW_ykoY	BSU_misc_RNA_87	na	0.82	not_deregulated	na
lutA.5147	CDS	lutA	BSU_34050	Utilization of organic acids	0.72	not_deregulated	0.999008657
gbsR.4691	CDS	gbsR	BSU_31070	Biosynthesis of glycine betaine, Transcription factors/ other, Coping with hyper-osmotic stress	0.7	not_deregulated	na
opuBC.5098	CDS	opuBC	BSU_33710	Coping with hyper-osmotic stress, Membrane proteins, Uptake of compatible solutes for osmoprotection	0.63	not_deregulated	na
argJ_argB.1660	intergenic_UTR	argJ_argB	BSU_11200	Biosynthesis/ acquisition of arginine	0.59	not_deregulated	na
ybxI.342	CDS	ybxI	BSU_02090	Resistance against toxins/ antibiotics, Secreted proteins	0.51	not_deregulated	na
argJ.1659	CDS	argJ	BSU_11200	Biosynthesis/ acquisition of arginine	0.5	not_deregulated	0.999008657
sxzZ.1267	CDS	sxzZ	BSU_08450	Membrane proteins, Uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores	0.48	not_deregulated	na
ylaF.2206	CDS	ylaF	BSU_14760	Membrane proteins, Proteins of unknown function	0.48	not_deregulated	na
braB.4485	CDS	braB	BSU_29600	Biosynthesis/ acquisition of branched-chain amino acids, Membrane proteins, BCAA transporters	0.46	not_deregulated	0.228549421
ydgI.878	CDS	ydgI	BSU_05660	Poorly characterized/ putative enzymes	0.46	not_deregulated	na
yfmL.1129	CDS	yfmL	BSU_07430	DEAD-box RNA helicases, Ribosome assembly	0.43	not_deregulated	na
argG.4463	CDS	argG	BSU_29450	Biosynthesis/ acquisition of arginine, Phosphorylation on an Arg residue	0.43	not_deregulated	0.999008657
yxjO.5866	CDS	yxjO	BSU_38880	Transcription factor/ other/ based on similarity	0.42	not_deregulated	na
dnaI.4390	CDS	dnaI	BSU_28980	DNA replication, Essential genes	0.41	not_deregulated	na
trpE.3427	CDS	trpE	BSU_22680	Biosynthesis/ acquisition of aromatic amino acids	0.41	not_deregulated	0.999008657
ytzB.4532	CDS	ytzB	BSU_29870	Proteins of unknown function	0.38	not_deregulated	0.999008657
yvrD.5025	CDS	yvrD	BSU_33190	Poorly characterized/ putative enzymes	0.37	not_deregulated	0.999008657
ywoG.5513	CDS	ywoG	BSU_36450	Resistance against toxins/ antibiotics/ based on similarity, Membrane proteins	0.37	not_deregulated	na
trpD.3426	CDS	trpD	BSU_22670	Biosynthesis/ acquisition of aromatic amino acids	0.36	not_deregulated	na
ykoX_ykoY.2001	intergenic_UTR	ykoX_ykoY	BSU_13430	Membrane proteins, Other transporters	0.36	not_deregulated	na
clsA.5530	CDS	clsA	BSU_36590	Biosynthesis of phospholipids, Membrane proteins	0.36	not_deregulated	0.941636362
yczO.632	CDS	yczO	BSU_04039	Proteins of unknown function, General stress proteins (controlled by SigB)	0.36	not_deregulated	na
argB.1661	CDS	argB	BSU_11210	Biosynthesis/ acquisition of arginine	0.35	not_deregulated	0.967641343
mprF.1265	CDS	mprF	BSU_08425	Biosynthesis of phospholipids, Membrane proteins	0.35	not_deregulated	0.999008657
yutK.4874	CDS	yutK	BSU_32180	Biosynthesis/ acquisition of nucleotides/ other/ based on similarity, Membrane proteins	0.34	not_deregulated	na
