pyRAP_Gene	feature	Gene_base	locus	GO_terms	RPMPRPK	log2foldchange_RNAseq	padj_RNAseq
bsrF.2882	transcript	bsrF	BSU_misc_RNA_75	Small RNAs with unknown functions	9.0	not_significant	na
bmrB.1437	putative_sRNA	bmrB	BSU_09700	Other regulators	6.87	not_significant	na
YP_009514003.5196	CDS	YP_009514003	na	na	4.86	not_significant	na
rosA_S346.1454	sRNA_independent	rosA_S346	new_1056384_1056537	Regulatory RNAs	4.57	not_significant	na
sacP.5743	CDS	sacP	BSU_38050	Utilization of sucrose, Control of PRD-type regulators, Membrane proteins, Sugar specific PTS proteins, Trigger enzymes of the PTS that control the activity of PRD-containing transcription factors, Phosphorylation on a Cys residue	3.04	not_significant	0.606705191509033
walM.971	CDS	walM	BSU_06250	Cell wall/ other, Secreted proteins	1.84	not_significant	0.952270964439368
walM_ydjN.973	intergenic_UTR	walM_ydjN	BSU_06250	Cell wall/ other, Secreted proteins	1.5	not_significant	na
lysP.5044	CDS	lysP	BSU_33330	Biosynthesis/ acquisition of lysine/ threonine, Membrane proteins, APC superfamily	1.35	not_significant	0.999809258408758
yjhA.1818	CDS	yjhA	BSU_12180	Membrane proteins, Proteins of unknown function	0.92	not_significant	0.85114432160507
ypuD.3516	CDS	ypuD	BSU_23300	General stress proteins (controlled by SigB), Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	0.89	not_significant	0.966334965665596
ybgB.383	CDS	ybgB	BSU_02380	Cell envelope stress proteins (controlled by SigM, V, W, X, Y), Toxins, antitoxins and immunity against toxins/ based on similarity, Membrane proteins	0.87	not_significant	na
fhuG.5040	CDS	fhuG	BSU_33300	Membrane proteins, Uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores	0.86	not_significant	0.895744353997992
fhuG_fhuB.5041	CDS	fhuG_fhuB	BSU_33300	Membrane proteins, Uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores	0.86	not_significant	0.91649878442988
yngC.2747	CDS	yngC	BSU_18190	Cell envelope stress proteins (controlled by SigM, V, W, X, Y), Membrane proteins, Other transporters, Biosynthesis of peptidoglycan	0.74	not_significant	0.939364612804034
mswD.2026	transcript	mswD	BSU_misc_RNA_21	na	0.71	not_significant	0.364228427237579
ydjN.974	CDS	ydjN	BSU_06260	Proteins of unknown function, Secreted proteins	0.57	not_significant	0.58803717396118
folEB.532	CDS	folEB	BSU_03340	Biosynthesis of folate, tRNA modification and maturation	0.54	not_significant	0.953686270028256
clsA.5530	CDS	clsA	BSU_36590	Biosynthesis of phospholipids, Membrane proteins	0.53	not_significant	0.995925390792921
pbuX.3329	CDS	pbuX	BSU_22060	Biosynthesis/ acquisition of purine nucleotides, Membrane proteins, Nucleotide/ nucleoside transporter	0.53	not_significant	0.790905323519094
opuBC.5098	CDS	opuBC	BSU_33710	Coping with hyper-osmotic stress, Membrane proteins, Uptake of compatible solutes for osmoprotection	0.52	not_significant	0.910128527207501
ydgI.878	CDS	ydgI	BSU_05660	Poorly characterized/ putative enzymes	0.51	not_significant	0.982954902436147
mncR.1371	CDS	mncR	BSU_09190	Biosynthesis/ acquisition of nucleotides/ other, Endoribonucleases, Secreted proteins	0.43	not_significant	0.998789052597797
degQ.4794	CDS	degQ	BSU_31720	Control of response regulators/ other, Biofilm formation, Regulation	0.42	not_significant	na
yfiV.1264	CDS	yfiV	BSU_08410	Transcription factor/ other/ based on similarity	0.42	not_significant	0.993853315726199
ypgR.3298	CDS	ypgR	BSU_21880	Proteins of unknown function	0.4	not_significant	0.999809258408758
ywnC.5532	CDS	ywnC	BSU_36610	Membrane proteins, Proteins of unknown function	0.38	not_significant	0.858953473879008
S198.872	sRNA_independent	S198	new_606414_606611_c	na	0.38	not_significant	na
ykhA.1947	CDS	ykhA	BSU_13030	Poorly characterized/ putative enzymes	0.37	not_significant	0.903068425842092
gbsR.4691	CDS	gbsR	BSU_31070	Biosynthesis of glycine betaine, Transcription factors/ other, Coping with hyper-osmotic stress	0.37	not_significant	0.999809258408758
mtnW.2027	CDS	mtnW	BSU_13590	Biosynthesis/ acquisition of methionine/ S-adenosylmethionine	0.36	not_significant	0.854619864745795
yutK.4874	CDS	yutK	BSU_32180	Biosynthesis/ acquisition of nucleotides/ other/ based on similarity, Membrane proteins	0.36	not_significant	0.897886097225327
copO.1125	CDS	copO	BSU_07400	Resistance against toxins/ antibiotics/ based on similarity, Membrane proteins, Other transporters	0.35	not_significant	0.999809258408758
proI.3590	CDS	proI	BSU_23800	Biosynthesis/ acquisition of proline	0.35	not_significant	0.966334965665596
pgsA.2540	CDS	pgsA	BSU_16920	Biosynthesis of phospholipids, Essential genes, Membrane proteins	0.34	not_significant	0.855769284381164
yddJ.781	CDS	yddJ	BSU_04990	ICEBs1, Membrane proteins	0.34	not_significant	0.822075478221132
yqgC.3762	CDS	yqgC	BSU_25030	Proteins of unknown function, Membrane proteins	0.33	not_significant	0.777048747417763
YP_009514007.5527	CDS	YP_009514007	na	na	0.33	not_significant	0.917428767092209
ybxI.342	CDS	ybxI	BSU_02090	Resistance against toxins/ antibiotics, Secreted proteins	0.32	not_significant	0.999809258408758
mtnX.2028	CDS	mtnX	BSU_13600	Biosynthesis/ acquisition of methionine/ S-adenosylmethionine	0.32	not_significant	0.74855024556607
pelC.5278	CDS	pelC	BSU_34950	Utilization of other polymeric carbohydrates, Secreted proteins	0.32	not_significant	0.877684387735714
recJ.4170	CDS	recJ	BSU_27620	DNA repair/ recombination/ based on similarity, Efp-dependent proteins, Other proteins, DNA replication	0.3	not_significant	0.976975764392945
yumB.4861	CDS	yumB	BSU_32100	Newly identified sporulation proteins (based on transcription profiling)	0.3	-0.53	0.0027513123700311
ywnG_YP_009514007.5528	intergenic_UTR	ywnG_YP_009514007	BSU_36570	Newly identified sporulation proteins (based on transcription profiling), Membrane proteins	0.3	not_significant	0.841651945614028
tadA.36	CDS	tadA	BSU_00180	tRNA modification and maturation	0.3	not_significant	0.997716983454992
yvpB.5275	CDS	yvpB	BSU_34940	Proteins of unknown function, Swarming	0.29	not_significant	0.841651945614028
dnaB.4392	CDS	dnaB	BSU_28990	DNA replication, Essential genes	0.28	not_significant	0.976975764392945
mncR_srtA.1372	CDS	mncR_srtA	BSU_09190	Biosynthesis/ acquisition of nucleotides/ other, Endoribonucleases, Secreted proteins	0.28	not_significant	0.982954902436147
S348.1477	sRNA_independent	S348	new_1071709_1071971_c	na	0.26	not_significant	0.895933305927079
ywbO_efeB.5777	intergenic_UTR	ywbO_efeB	BSU_38250	Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	0.26	not_significant	0.90439795315992
cysJ.5060	CDS	cysJ	BSU_33440	Sulfur metabolism, sulfur metabolism/ general	0.26	not_significant	0.723243967240292
ccdA.2706	CDS	ccdA	BSU_17930	Respiration/ other, Membrane proteins	0.26	not_significant	0.793516212975532
resA.3497	CDS	resA	BSU_23150	Respiration/ other, Membrane proteins	0.25	not_significant	0.777048747417763
yxiB.5938	CDS	yxiB	BSU_39320	Proteins of unknown function	0.25	not_significant	0.379895293998423
phrC.594	CDS	phrC	BSU_03780	Genetic competence, Control of response regulators/ other, Quorum sensing, Genetic competence, Short peptides	0.25	not_significant	0.855769284381164
csbX.4195	CDS	csbX	BSU_27760	Sporulation proteins/ other, General stress proteins (controlled by SigB), Membrane proteins	0.25	not_significant	0.156266288311401
ywqH.5473	CDS	ywqH	BSU_36210	Not yet assigned	0.25	not_significant	0.74855024556607
gamR.379	CDS	gamR	BSU_02370	Utilization of cell wall components, Utilization of amino sugars, Transcription factors/ other, Utilization of amino sugars	0.24	not_significant	0.572274292998117
hisP.4851	CDS	hisP	BSU_32040	Membrane proteins, Proteins of unknown function	0.23	not_significant	0.999809258408758
yxaL.6027	CDS	yxaL	BSU_39940	Secreted proteins	0.23	not_significant	0.451655362661522
rghRA.5091	CDS	rghRA	BSU_33660	Transcription factors/ other, phosphorelay, phosphorelay	0.23	not_significant	0.489000281759468
S1333_pelC.5277	sRNA_5UTR	S1333_pelC	new_3590364_3590602	na	0.22	not_significant	0.793341473945785
pswI.3589	transcript	pswI	BSU_misc_RNA_91	na	0.22	not_significant	na
ypoP.3271	CDS	ypoP	BSU_21700	Transcription factor/ other/ based on similarity	0.21	not_significant	0.892818045869605
speA.2191	CDS	speA	BSU_14630	Metabolism of polyamines, Biofilm formation, Other proteins required for biofilm formation	0.21	not_significant	0.689635372616021
