pyRAP_Gene	feature	Gene_base	locus	GO_terms	log2foldchange	padj
ykzT.2090	CDS	ykzT	BSU_14009	Proteins of unknown function	3.27	3.05920290132514e-25
ybaR.273	CDS	ybaR	BSU_01580	Membrane proteins, Transporter for organic acids, Utilization of organic acids	2.93	7.00057388668376e-52
Novel_transcript.2092	Novel_transcript	Novel_transcript	na	na	2.58	5.03328462763804e-14
kre.2093	CDS	kre	BSU_14020	Genetic competence, Genetic competence, Phosphorylation on an Arg residue	-2.55	9.15559868766442e-44
pftB_pftA.4378	intergenic_UTR	pftB_pftA	BSU_28900	Transporter for organic acids, Utilization of organic acids, Membrane proteins	-2.39	0.0070024434711528
YP_009514004.5389	CDS	YP_009514004	na	na	2.35	4.89056820615289e-06
pftB.4377	CDS	pftB	BSU_28900	Transporter for organic acids, Utilization of organic acids, Membrane proteins	-2.24	0.0039457506478318
pftA.4379	CDS	pftA	BSU_28910	Membrane proteins, Transporter for organic acids, Utilization of organic acids	-2.18	0.0413378890616378
S1116.4457	S_feature	S1116	new_3009340_3009869_c	na	2.08	0.0485966801434745
yqbM.3925	CDS	yqbM	BSU_26060	Skin element	1.93	0.0419351272651664
yqgE.3760	CDS	yqgE	BSU_25010	Newly identified sporulation proteins (based on transcription profiling), Membrane proteins	1.76	0.0001244227812564
yhdB.1392	CDS	yhdB	BSU_09350	Newly identified sporulation proteins (based on transcription profiling)	1.7	0.0087973703316396
yocC.2900	CDS	yocC	BSU_19160	Proteins of unknown function	1.67	4.40475917758862e-06
gswB_S1503.5888	transcript	gswB_S1503	BSU_misc_RNA_63	na	1.67	0.0292278100763914
ssbB.5492	CDS	ssbB	BSU_36310	DNA replication, DNA repair/ recombination, Genetic competence, Genetic competence, Phosphorylation on an Arg residue, Phosphorylation on a Tyr residue, Other proteins	1.64	6.2912880190879e-14
yonV.3166	CDS	yonV	BSU_20980	SP-beta prophage	-1.59	0.0007493343772286
desE.2903	CDS	desE	BSU_19180	Lipid metabolism/ other, Cold stress proteins, Membrane proteins	1.52	1.5916436040278e-20
ssbB_ywpG.5493	intergenic_UTR	ssbB_ywpG	BSU_36310	DNA replication, DNA repair/ recombination, Genetic competence, Genetic competence, Phosphorylation on an Arg residue, Phosphorylation on a Tyr residue, Other proteins	1.51	4.19779563948351e-06
hutH.5944	CDS	hutH	BSU_39350	Utilization of histidine	-1.48	0.0017417777653885
desK_desR.2905	intergenic_UTR	desK_desR	BSU_19190	Lipid metabolism/ other, Protein kinases, Two-component sensor kinase, Cold stress proteins, Membrane proteins, Phosphorylation on a His residue	1.45	0.0023578870229015
yuzF.4812	CDS	yuzF	BSU_31820	Newly identified sporulation proteins (based on transcription profiling)	1.45	4.2584672149979696e-11
yceG_yceH.469	intergenic_UTR	yceG_yceH	BSU_02930	General stress proteins (controlled by SigB), Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	-1.45	0.0169495296124913
phrA.1853	CDS	phrA	BSU_12440	Quorum sensing, Short peptides, Control of response regulators/ other, Other protein controlling the activity of the phosphorelay, Other protein controlling the activity of the phosphorelay	1.45	1.06849687902516e-08
maeC_ytnP.4534	intergenic_UTR	maeC_ytnP	BSU_29880	Utilization of organic acids	-1.39	0.0108231864690196
S1335.5295	sRNA_independent	S1335	new_3602657_3602942	na	-1.38	3.3191013027932502e-09
S1222.4813	sRNA_independent	S1222	new_3264537_3264677_c	na	1.35	4.05150534641216e-07
yrhH.4087	CDS	yrhH	BSU_27180	Cell envelope stress proteins (controlled by SigM, V, W, X, Y), Poorly characterized/ putative enzymes	-1.35	1.33525590726463e-07
relQ.5809	CDS	relQ	BSU_38480	Metabolism of signalling nucleotides, Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	-1.33	7.06404593258145e-12
