pyRAP_Gene	feature	Gene_base	locus	GO_terms	log2foldchange	padj
pksG.2573	CDS	pksG	BSU_17150	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-3.77	7.652166982445171e-09
upp.5583	CDS	upp	BSU_36890	Biosynthesis/ acquisition of pyrimidine nucleotides	3.44	2.42765266072228e-84
bsrG.3245	CDS	bsrG	BSU_21546	Type 1 TA systems	-3.42	4.21789615340814e-26
pksH.2574	CDS	pksH	BSU_17160	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-3.35	3.70518074880433e-07
pksI.2575	CDS	pksI	BSU_17170	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-3.09	4.29855229999623e-05
yuzA.4747	CDS	yuzA	BSU_31380	Sporulation proteins/ other, General stress proteins (controlled by SigB)	3.03	0.0039982774052715
pksF.2572	CDS	pksF	BSU_17140	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-2.91	2.26142540032441e-09
bsrE.2869	CDS	bsrE	BSU_18978	Type 1 TA systems	-2.9	6.873940067351919e-11
bsrE.2868	putative_sRNA	bsrE	BSU_18978	Type 1 TA systems	-2.9	5.9521027989956e-07
ctaO.1807	CDS	ctaO	BSU_12080	Biosynthesis of heme/ siroheme, Membrane proteins	-2.81	6.56426254837754e-07
srlX.6021	transcript	srlX	BSU_misc_RNA_86	na	-2.77	1.4456634857786e-37
sdpB_spbC.5108	intergenic_UTR	sdpB_spbC	BSU_33760	Toxins, antitoxins and immunity against toxins, Membrane proteins	-2.7	6.56804862945285e-19
spbC.5106	CDS	spbC	BSU_33770	Toxins, antitoxins and immunity against toxins, Toxins, antitoxins and immunity/ Additional genes	-2.68	5.5964319280276605e-31
pksE.2570	CDS	pksE	BSU_17120	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-2.66	3.54863059517462e-11
pksJ.2576	CDS	pksJ	BSU_17180	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-2.63	1.53626157633017e-38
sdpB.5105	CDS	sdpB	BSU_33760	Toxins, antitoxins and immunity against toxins, Membrane proteins	-2.59	4.43413212617896e-33
sdpA.5104	CDS	sdpA	BSU_33750	Toxins, antitoxins and immunity against toxins	-2.42	2.45322566414083e-29
yxbC.6020	CDS	yxbC	BSU_39880	Proteins of unknown function	-2.42	3.1283381476252e-17
ybdN.337	CDS	ybdN	BSU_02040	Proteins of unknown function, Secreted proteins	-2.39	8.24283597925092e-08
yxbB.6022	CDS	yxbB	BSU_39890	Proteins of unknown function	-2.35	2.90635901989811e-23
yxnB.6024	CDS	yxnB	BSU_39910	Proteins of unknown function	-2.35	9.018777717799869e-12
yxbA.6023	CDS	yxbA	BSU_39900	Poorly characterized/ putative enzymes	-2.34	2.34894942763565e-08
yxaM.6026	CDS	yxaM	BSU_39930	Resistance against toxins/ antibiotics/ based on similarity, Membrane proteins	-2.28	1.33077770303271e-32
asnH.6025	CDS	asnH	BSU_39920	Biosynthesis/ acquisition of aspartate/ asparagine	-2.16	1.86989111609178e-19
liaD.6065	CDS	liaD	BSU_40180	Control of response regulators/ other, Secreted proteins, Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-2.14	8.833810441185572e-09
skfA.319	CDS	skfA	BSU_01910	Toxins, antitoxins and immunity against toxins, Prophage 1	-2.11	0.0001617464993233
S365.1542	S_feature	S365	new_1116857_1117712_c	na	2.03	0.0039733829615851
spoVG.85	CDS	spoVG	BSU_00490	Sporulation/ other, Other genes, Phosphorylation on a Ser residue, RNA chaperones	-1.97	2.1943049784012602e-35
yxbD.6019	CDS	yxbD	BSU_39870	Proteins of unknown function	-1.96	0.0001617464993233
S801.3184	S_feature	S801	new_2226061_2227296	na	1.93	0.0364587613911417
chaA.1202	CDS	chaA	BSU_07920	Sporulation proteins/ other, General stress proteins (controlled by SigB), Membrane proteins, Metal ion transporter, Metal ion homeostasis/ Other	1.87	0.00074973402962
yfmG.1136	CDS	yfmG	BSU_07480	Proteins of unknown function, Phosphorylation on an Arg residue	-1.83	1.01492877474018e-07
yqkE.3565	CDS	yqkE	BSU_23630	Proteins of unknown function	1.83	0.0415301783718868
sunT_sunA.3235	intergenic_UTR	sunT_sunA	BSU_21470	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds, SP-beta prophage, Membrane proteins, Export of antibiotic substances	-1.82	1.00007089987815e-06
pksL.2577	CDS	pksL	BSU_17190	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-1.82	2.6190901813173397e-22
skfB.320	CDS	skfB	BSU_01920	Toxins, antitoxins and immunity against toxins, Prophage 1	-1.81	1.30594496327689e-05
cypC.343	CDS	cypC	BSU_02100	Electron transport/ other, Lipid metabolism/ other, General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress	1.78	0.0088667820543541
glmU_prs.87	intergenic_UTR	glmU_prs	BSU_00500	Biosynthesis of peptidoglycan, Biosynthesis of peptidoglycan, Essential genes	1.76	3.47091650556297e-11
glmU.86	CDS	glmU	BSU_00500	Biosynthesis of peptidoglycan, Biosynthesis of peptidoglycan, Essential genes	1.75	9.301908121823919e-36
ysnF.4289	CDS	ysnF	BSU_28340	General stress proteins (controlled by SigB), Phosphorylation on either a Ser, Thr or Tyr residue	1.75	0.0100009770016382
yybO.6130	CDS	yybO	BSU_40570	Membrane proteins	1.72	0.0038810453269014
S256.1137	S_feature	S256	new_822331_822824	na	-1.72	0.0008576181774619
prs.88	CDS	prs	BSU_00510	Biosynthesis/ acquisition of histidine, Biosynthesis/ acquisition of purine nucleotides, Biosynthesis/ acquisition of pyrimidine nucleotides, Essential genes, Universally conserved proteins	1.71	4.6844176441767595e-34
yqxJ.3901	CDS	yqxJ	BSU_25880	Skin element	-1.71	6.56426254837754e-07
rsbRD.3725	CDS	rsbRD	BSU_24760	Control of sigma factors, General stress proteins (controlled by SigB), Phosphorylation on a Thr residue	1.71	0.0002944592618455
S1533.6018	S_feature	S1533	new_4094722_4095322_c	na	-1.7	0.0089907220780593
sunA.3236	CDS	sunA	BSU_21480	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds, Toxins, antitoxins and immunity against toxins, SP-beta prophage, Secreted proteins, Toxins, antitoxins and immunity/ Additional genes	-1.69	8.24283597925092e-08
pksD.2569	CDS	pksD	BSU_17110	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	-1.68	3.12175396423507e-07
yozY.2857	CDS	yozY	BSU_18908	Proteins of unknown function	-1.68	0.0005712073949369
rmgR.4567	CDS	rmgR	BSU_30150	Transcription factor/ other/ based on similarity, Membrane proteins	-1.63	0.0129823388674104
yqxI.3902	CDS	yqxI	BSU_25890	Skin element, Secreted proteins	-1.63	0.0050533098814659
