pyRAP_Gene	feature	Gene_base	locus	GO_terms	RPMPRPK	log2foldchange_RNAseq	padj_RNAseq
lctE.484	CDS	lctE	BSU_03050	Overflow metabolism, Phosphorylation on a Tyr residue	81.0	not_significant	na
lctE_lctP.485	intergenic_UTR	lctE_lctP	BSU_03050	Overflow metabolism, Phosphorylation on a Tyr residue	2.39	not_significant	na
cydA.5849	CDS	cydA	BSU_38760	Terminal oxidases, Membrane proteins	12.33	not_significant	0.96731385564724
yflT.1150	CDS	yflT	BSU_07550	General stress proteins (controlled by SigB)	1.53	not_significant	0.768016306112275
mgsR.3727	CDS	mgsR	BSU_24770	Transcription factors/ other, General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress, Phosphorylation on an Arg residue	1.7	1.38	9.54951107258147e-05
lctP.486	CDS	lctP	BSU_03060	Overflow metabolism, Membrane proteins, Transporter for organic acids	11.33	not_significant	0.136806474355675
cydB.5848	CDS	cydB	BSU_38750	Terminal oxidases, Membrane proteins	5.0	not_significant	na
gspA.5803	CDS	gspA	BSU_38430	General stress proteins (controlled by SigB)	1.19	1.42	4.27510510422295e-05
S1290.5097	sRNA_independent	S1290	new_3460206_3462957	Other regulators, Regulatory RNAs	3.0	1.1	0.0404606935443823
nasD.526	CDS	nasD	BSU_03300	Anaerobic respiration, Utilization of nitrate/ nitrite	2.47	-1.56	0.0069536011134106
gsiB.689	CDS	gsiB	BSU_04400	General stress proteins (controlled by SigB)	0.66	not_significant	0.34077973338685
sboA.5651	CDS	sboA	BSU_37350	Biosynthesis of antibacterial compounds, Biosynthesis of antibacterial compounds	2.6	not_significant	na
S313.1339	sRNA_independent	S313	new_972833_973008_c	na	38.0	not_significant	na
cutJ_cutR.619	intergenic_UTR	cutJ_cutR	BSU_03950	Membrane proteins, Metal ion transporter, Copper	0.15	not_significant	na
yerD.1023	CDS	yerD	BSU_06590	General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress, Membrane proteins, Poorly characterized/ putative enzymes	2.0	not_significant	0.641802808946855
nhaX.1435	CDS	nhaX	BSU_09690	General stress proteins (controlled by SigB)	1.62	not_significant	0.0845562701343391
ybyB.344	CDS	ybyB	BSU_02110	General stress proteins (controlled by SigB)	0.69	1.12	0.0429720674294024
S639_S641.2653	sRNA_independent	S639_S641	new_1900263_1900568_c	na	0.49	-1.47	0.0004598558227792
