pyRAP_Gene	feature	Gene_base	locus	GO_terms	RPMPRPK	log2foldchange_RNAseq	padj_RNAseq
rosA_S346.1454	sRNA_independent	rosA_S346	new_1056384_1056537	Regulatory RNAs	3.55	not_significant	na
yjpA.1854	CDS	yjpA	BSU_12450	Proteins of unknown function	3.45	not_significant	na
bmrB.1437	putative_sRNA	bmrB	BSU_09700	Other regulators	3.04	not_significant	na
ykoY.2003	CDS	ykoY	BSU_13440	Newly identified sporulation proteins (based on transcription profiling), Membrane proteins, Manganese	1.89	not_significant	na
ykoX.2000	CDS	ykoX	BSU_13430	Membrane proteins, Other transporters	1.77	not_significant	0.999008656818213
ydjN.974	CDS	ydjN	BSU_06260	Proteins of unknown function, Secreted proteins	1.7	not_significant	na
sacP.5743	CDS	sacP	BSU_38050	Utilization of sucrose, Control of PRD-type regulators, Membrane proteins, Sugar specific PTS proteins, Trigger enzymes of the PTS that control the activity of PRD-containing transcription factors, Phosphorylation on a Cys residue	1.43	not_significant	na
fhuG.5040	CDS	fhuG	BSU_33300	Membrane proteins, Uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores	1.37	not_significant	na
fhuG_fhuB.5041	CDS	fhuG_fhuB	BSU_33300	Membrane proteins, Uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores	1.36	not_significant	na
opuBA.5100	CDS	opuBA	BSU_33730	Coping with hyper-osmotic stress, Membrane proteins, Uptake of compatible solutes for osmoprotection	1.21	not_significant	na
walM.971	CDS	walM	BSU_06250	Cell wall/ other, Secreted proteins	1.04	not_significant	na
YP_009514003.5196	CDS	YP_009514003	na	na	0.85	not_significant	na
walM_ydjN.973	intergenic_UTR	walM_ydjN	BSU_06250	Cell wall/ other, Secreted proteins	0.85	not_significant	na
argC.1657	CDS	argC	BSU_11190	Biosynthesis/ acquisition of arginine	0.84	not_significant	0.999008656818213
amtB.5519	CDS	amtB	BSU_36510	Biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation, Membrane proteins, Uptake of other small ions	0.82	not_significant	0.999008656818213
mnrW_ykoY.2002	transcript	mnrW_ykoY	BSU_misc_RNA_87	na	0.82	not_significant	na
lutA.5147	CDS	lutA	BSU_34050	Utilization of organic acids	0.72	not_significant	0.999008656818213
gbsR.4691	CDS	gbsR	BSU_31070	Biosynthesis of glycine betaine, Transcription factors/ other, Coping with hyper-osmotic stress	0.7	not_significant	na
