pyRAP_Gene	feature	Gene_base	locus	GO_terms	log2foldchange	padj
ribBA.3511	CDS	ribBA	BSU_23260	Biosynthesis/ acquisition of riboflavin/ FAD	-1.7	0.0497381578924342
ribH.3510	CDS	ribH	BSU_23250	Biosynthesis/ acquisition of riboflavin/ FAD	-1.67	0.0357188035280301
fbpA.709	CDS	fbpA	BSU_04536	Acquisition of iron / Other, Acquisition of iron / Other	1.13	3.89963547682994e-05
fbpB.708	CDS	fbpB	BSU_04530	Acquisition of iron / Other, RNA chaperones, Short peptides, Acquisition of iron / Other	1.12	1.85703600907414e-05
yjgD.1816	CDS	yjgD	BSU_12170	General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress, Poorly characterized/ putative enzymes	-1.11	7.58953860557235e-07
ygxB.1398	CDS	ygxB	BSU_09390	General stress proteins (controlled by SigB)	-1.09	9.659644159123939e-11
hutM.5949	CDS	hutM	BSU_39390	Biosynthesis/ acquisition of histidine, Utilization of histidine, Membrane proteins, APC superfamily	-1.03	0.0099202090533533
ydaS.686	CDS	ydaS	BSU_04370	General stress proteins (controlled by SigB)	-0.96	2.5308058900890803e-10
yhxD.1545	CDS	yhxD	BSU_10430	General stress proteins (controlled by SigB), Poorly characterized/ putative enzymes	-0.95	5.835045631880951e-09
edmS.5425	CDS	edmS	BSU_35870	Capsule biosynthesis and degradation, Membrane proteins	0.93	7.45515998562774e-05
ydbD.694	CDS	ydbD	BSU_04430	General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress/ based on similarity	-0.9	9.659644159123939e-11
ypzK.3509	CDS	ypzK	BSU_23240	Biosynthesis/ acquisition of riboflavin/ FAD, Protein acetylases/ deacetylases	-0.89	0.0015817863638887
ydaD.656	CDS	ydaD	BSU_04190	General stress proteins (controlled by SigB), Poorly characterized/ putative enzymes	-0.88	6.0325119874307e-08
ysnF.4289	CDS	ysnF	BSU_28340	General stress proteins (controlled by SigB), Phosphorylation on either a Ser, Thr or Tyr residue	-0.87	5.20703832438465e-05
S1078_BSU_28509.4315	sRNA_independent	S1078_BSU_28509	new_2913380_2913589_c	na	-0.86	5.0329497273286e-08
katX.5832	CDS	katX	BSU_38630	Sporulation proteins/ other, General stress proteins (controlled by SigB), Resistance against oxidative and electrophile stress	-0.84	1.28084472425935e-05
yjgC.1815	CDS	yjgC	BSU_12160	Electron transport/ other/ based on similarity, General stress proteins (controlled by SigB), Poorly characterized/ putative enzymes	-0.84	7.91064319593661e-06
capA.5426	CDS	capA	BSU_35880	Capsule biosynthesis and degradation	0.83	0.0032825130173631
frxB.5980	CDS	frxB	BSU_39610	Uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, ABC transporters for the uptake of iron/ siderophores, Secreted proteins	0.83	0.0102607376244467
yhcM.1367	CDS	yhcM	BSU_09140	Sporulation proteins/ other, General stress proteins (controlled by SigB)	-0.83	6.57608288432337e-06
capC.5427	CDS	capC	BSU_35890	Capsule biosynthesis and degradation	0.81	0.0121306121067802
capB.5429	CDS	capB	BSU_35900	Capsule biosynthesis and degradation	0.81	0.0053205387224769
ywmD.5554	CDS	ywmD	BSU_36730	Proteins of unknown function	0.8	0.0317607610151771
